'OBJECTID', 'OBJECTID_12_13', 'DEPCODE', 'COUNTY', 'COUNTYNAME', 'County', 'State', 'PUIsTotal*', 'PUIAge_0_4*', 'PUIAge_5_14*', 'PUIAge_15_24*', 'PUIAge_25_34*', 'PUIAge_35_44*', 'PUIAge_45_54*', 'PUIAge_55_64*', 'PUIAge_65_74*', 'PUIAge_75_84*', 'PUIAge_85plus*', 'PUIAge_Unkn*', 'PUIAgeRange*', 'PUIAgeMedian*', 'PUIFemale*', 'PUIMale*', 'PUISexUnkn*', 'PUIFLRes*', 'PUINotFLRes*', 'PUIFLResOut*', 'PUIContNo*', 'PUIContUnkn*', 'PUIAgeAvrg*', 'PUITravelNo*', 'PUITravelYes*', 'PUI_TPositive*', 'PUI_TNegative*', 'PUI_TInconc*', 'PUI_TPending*', 'T_Total_Res', 'T_LabPrivate_Res', 'T_LabDOH_Res', 'T_LabPrivate_NonRes', 'T_LabDOH_NonRes', 'C_Female', 'C_Male', 'C_SexUnkn', 'C_AllResTypes', 'C_Age_0_4', 'C_Age_5_14', 'C_Age_15_24', 'C_Age_25_34', 'C_Age_35_44', 'C_Age_45_54', 'C_Age_55_64', 'C_Age_65_74', 'C_Age_75_84', 'C_Age_85plus', 'C_Age_Unkn', 'C_AgeRange', 'C_AgeMedian', 'C_RaceWhite', 'C_RaceBlack', 'C_RaceOther', 'C_RaceUnknown', 'C_HispanicYES', 'C_HispanicNO', 'C_HispanicUnk', 'C_EDYes_Res', 'C_EDYes_NonRes', 'C_HospYes_Res', 'C_HospYes_NonRes', 'C_NonResDeaths', 'C_FLResDeaths', 'CasesAll', 'C_Men', 'C_Women', 'C_FLRes', 'C_NotFLRes', 'C_FLResOut', 'T_NegRes', 'T_NegNotFLRes', 'T_total', 'T_negative', 'T_positive', 'Deaths', 'PUI_EverMon*', 'PUI_MonNow*', 'Shape__Area', 'Shape__Length', 'MedianAge', 'Date'
"60","60","26","051","HENDRY","Hendry","FL","2297","72","76","275","420","357","335","321","194","135","105","7","0 to 119","43","1146","1141","10","2295","2","0","123","1724","32","588","2","590","1706","0","1","2294","553","37","0","0","224","366","0","590","16","15","75","140","117","91","61","33","25","17","0","0 to 101","39","475","57","19","39","438","130","22","96","0","60","0","0","19","590","366","224","590","0","0","2984","2","3576","2986","590","19","767","362","3080878042.06929","290231.154940413","48","06/11/2020"
"61","61","31","061","INDIAN RIVER","Indian River","FL","5281","50","56","302","460","462","630","884","1070","774","580","13","0 to 119","62","3236","2021","24","5209","72","0","174","4789","77","398","61","177","5059","0","45","5167","152","14","9","2","90","76","0","166","2","5","16","25","20","23","22","29","23","12","0","0 to 96","54","119","16","18","13","31","112","23","66","6","34","3","0","11","177","83","94","166","11","0","7828","58","8063","7886","177","11","696","232","1319798862.49319","234087.653130679","64","06/11/2020"
"62","62","6","011","BROWARD","Broward","FL","94038","1109","1415","6100","13527","14310","16637","18054","12529","6691","3474","192","0 to 119","51","51188","41247","1603","92580","1458","0","1903","86400","2336","8714","996","8337","85663","13","25","92545","6904","1239","170","24","4145","3998","0","8143","57","141","751","1338","1326","1517","1481","868","537","321","0","0 to 102","48","4114","2984","742","303","2823","5040","280","2600","67","1636","55","21","351","8337","4119","4218","8143","194","0","123420","1261","133088","124681","8337","351","2331","1963","3142374056.01305","291881.846057183","50","06/11/2020"
"63","63","17","033","ESCAMBIA","Escambia","FL","17713","440","448","1393","2284","2064","2399","3313","2798","1608","930","36","0 to 119","54","10716","6957","40","14945","2768","0","152","17120","183","670","70","944","16766","2","1","14942","687","63","194","0","434","316","0","750","12","26","103","124","124","116","146","110","113","70","0","0 to 105","52","337","280","22","111","23","554","173","87","0","66","0","0","37","944","389","555","750","194","0","20665","2574","24189","23239","944","37","241","161","1767890300.40206","439974.169549806","54","06/11/2020"
"64","64","47","093","OKEECHOBEE","Okeechobee","FL","1594","25","46","216","192","169","199","246","179","175","136","11","0 to 119","52","944","629","21","1587","7","0","58","1406","2","166","11","154","1440","0","0","1587","125","28","1","0","74","79","0","153","4","16","35","26","23","19","22","5","3","1","0","0 to 87","33","114","19","7","13","81","58","14","11","0","15","1","0","0","154","80","74","153","1","0","2099","6","2259","2105","154","0","174","113","2307690905.70045","272539.677334045","56","06/11/2020"
"65","65","19","037","FRANKLIN","Franklin","FL","461","2","4","24","34","34","48","105","123","71","16","0","0 to 95","63","257","201","3","457","4","0","8","452","0","5","3","2","459","0","0","457","0","1","1","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","25 to 60","42","1","0","0","0","0","1","0","0","0","0","0","0","0","2","0","2","1","1","0","679","3","684","682","2","0","4","3","1445840682.56789","446544.245992026","42","06/11/2020"
"66","66","1","001","ALACHUA","Alachua","FL","15280","210","205","1591","2804","2234","2217","2563","1905","912","573","66","0 to 119","47","8856","6273","151","15010","270","0","206","14857","61","443","58","443","14830","7","0","15003","370","53","9","11","236","187","0","423","3","5","77","90","51","64","57","60","22","13","1","0 to 103","43","161","143","39","80","51","295","77","131","5","82","4","0","9","443","197","246","423","20","0","26475","250","27175","26725","443","9","80","58","2510756491.26947","272135.471452184","49","06/11/2020"
"67","67","55","109","ST. JOHNS","St. Johns","FL","9685","129","226","679","970","1419","1599","1764","1630","865","388","16","0 to 119","53","5397","4169","119","9656","29","0","228","9142","208","395","125","287","9371","19","8","9630","223","54","7","3","141","136","0","277","2","6","24","28","36","58","62","47","19","5","0","2 to 97","52","221","18","17","21","17","229","31","64","3","43","3","0","6","287","142","145","277","10","0","13715","18","14041","13733","287","6","213","175","1658206648.51031","344848.248220385","53","06/11/2020"
"68","999","999","999","Unknown","Unknown","FL","1383","0","2","65","149","177","188","178","139","216","267","2","6 to 119","60","945","431","7","130","1253","0","1","1381","0","3","9","96","1285","1","1","129","6","1","88","1","3","4","0","7","0","1","7","26","20","21","10","2","6","3","0","6 to 95","41","1","1","0","5","0","0","7","0","1","0","0","0","0","96","56","39","7","89","0","412","1163","1686","1575","96","0","19","17","426757389.663452","73231.2921286601","36","06/11/2020"
"1","1","21","041","GILCHRIST","Gilchrist","FL","675","11","12","73","84","91","98","107","94","69","36","0","0 to 118","52","410","254","11","675","0","0","8","641","2","40","1","22","653","0","0","675","21","1","0","0","10","12","0","22","0","0","5","3","3","4","5","1","1","0","0","17 to 79","44","16","1","2","3","2","18","2","1","0","0","0","0","0","22","12","10","22","0","0","1208","0","1231","1208","22","0","43","26","920490830.042053","148547.348006441","50","06/12/2020"
